objname,dist_parsec,vgsr(km/s)
UGC12914,49.888448746,4522
UGC00014,101.391138574,7428
NGC7817,27.9254384124,2470
PGC000465,172.981635922,11673
ESO293-034,20.8929613085,1477
UGC00052,69.8232404077,5386
UGC00054,73.1139083483,4441
NGC0007,20.6062991327,1503
NGC0023,51.2861383991,4728
NGC0029,77.6247116629,4948
ESO293-045,27.1643926884,1428
UGC00132,20.5116217883,1815
NGC0048,58.6138164514,1972
PGC001288,50.1187233627,3789
UGC00196,55.9757601495,5336
NGC0105,72.1107479183,5318
NGC0115,28.7078058202,1812
UGC00256,47.8630092323,5372
UGC00260,27.9254384124,2263
PGC073507,162.181009736,13297
UGC00312,55.7185748932,4480
ESO079-003,33.1131121483,2508
UGC00320,41.304750199,2472
IC1553,32.2106879128,2934
NGC0150,21.0862814993,1577
NGC0157,28.0543363795,1718
NGC0191,97.2747223777,6136
UGC00392,26.9153480393,1587
NGC0214,57.5439937337,4687
PGC002492,25.8226019063,1585
ESO540-016,26.6685866452,1582
NGC0232,83.1763771103,6694
UGC00477,38.5478357666,2785
PGC002726,167.494287603,11317
UGC00485,61.9441075077,5406
NGC0252,77.2680585096,5092
UGC00501,70.7945784384,5241
UGC00509,72.4435960075,5294
UGC00511,77.9830110523,4758
PGC002964,43.651583224,5127
UGC00521,32.9609712177,792
UGC00525,37.6703798984,5085
NGC0278,29.3764965196,820
PGC003062,30.3389118419,1478
UGC00536,78.7045789695,5014
NGC0289,20.796966871,1608
UGC00542,54.2000890402,4663
PGC003183,41.4954042634,4950
PGC003184,87.0963589956,6946
UGC00549,72.1107479183,6222
UGC00557,81.2830516164,4654
UGC00556,74.4731973906,4790
NGC0298,27.2897778281,1810
UGC00562,54.7015962894,5622
UGC00565,49.4310686987,5800
PGC003285,89.949758153,6824
IC1601,118.576874817,3746
UGC00575,66.0693448008,4813
PGC003466,61.3762005165,4880
UGC00607,207.96966871,11769
ESO541-004,27.7971326776,2017
UGC00608,36.8128973643,2934
ESO541-005,41.8793565118,1968
UGC00622,36.8128973643,2893
IC0066,81.6582371359,4989
NGC0338,77.9830110523,4931
IC0065,29.3764965196,2794
UGC00628,85.5066712885,5574
UGC00633,91.2010839356,5729
UGC00634,26.9153480393,2309
IC1610,73.7904230129,5653
NGC0360,30.4789498963,2179
UGC00646,67.2976656284,5439
PGC003855,32.5087297385,2473
UGC00669,43.651583224,6010
UGC00673,99.0831944893,6401
UGC00679,54.9540873858,5225
NGC0406,20.9893988362,1369
NGC0382,73.4513868157,5375
UGC00711,24.4343055269,2054
UGC00714,52.480746025,4787
PGC004143,30.6196343369,1927
UGC00732,56.4936974812,5592
PGC004222,82.7942163712,5725
UGC00748,77.9830110523,5009
UGC00764,87.0963589956,4893
NGC0448,30.0607630263,1988
NGC0444,49.2039535681,4982
UGC00809,66.9884609417,4358
NGC0452,66.6806769214,5109
UGC00825,80.5378441199,5512
UGC00841,62.8058358813,5720
NGC0470,48.7528490103,2448
NGC0474,27.5422870334,2445
NGC0477,92.0449571753,6024
NGC0485,30.9029543251,2333
NGC0488,37.8442584717,2346
UGC00903,36.8128973643,2626
NGC0489,45.2897579904,2594
UGC00909,83.9459986519,5235
ESO352-057,89.1250938134,5639
NGC0494,65.7657837355,5591
NGC0495,75.1622894018,4250
NGC0496,53.2108259267,6151
NGC0512,92.896638678,5010
NGC0514,26.1818300822,2568
IC0101,34.9945167028,2487
UGC00958,34.6736850453,2524
UGC00964,40.7380277804,2820
NGC0522,38.9045144994,2817
NGC0524,32.5087297385,2510
NGC0532,34.6736850453,2459
NGC0523,73.1139083483,4906
UGC00987,56.7544605409,4799
PGC005329,25.2348077248,2042
PGC005341,45.498806015,2001
NGC0536,60.8135001279,5335
ESO476-010,21.6770410482,1584
UGC01020,39.6278034255,2696
UGC01033,58.8843655356,4179
NGC0551,64.2687717317,5340
UGC01054,71.4496326076,2807
UGC01066,73.7904230129,5210
IC0126,73.1139083483,5948
UGC01070,22.3872113857,2963
IC1711,44.2588372363,2910
UGC01087,69.5024317589,4582
NGC0582,64.2687717317,4491
NGC0596,21.5774440915,1936
UGC01110,35.3183169792,2861
UGC01112,24.6603933723,1772
NGC0613,26.4240875732,1446
NGC0615,27.7971326776,1900
NGC0632,43.651583224,3234
UGC01160,71.7794291271,5582
UGC01162,172.186857499,11258
NGC0634,75.8577575029,5070
NGC0636,29.5120922667,1883
UGC01178,57.2796030986,5643
PGC006190,31.3328572432,2156
NGC2573,25.351286305,2257
NGC0658,44.8745389933,3074
UGC01197,35.6451133426,2894
UGC01234,94.1889596523,5792
UGC01240,23.550492839,1863
NGC0668,56.234132519,4638
UGC01257,83.9459986519,4799
NGC0673,69.5024317589,5261
NGC0681,44.4631267469,1761
IC0163,25.003453617,2851
PGC006703,27.0395836411,1446
NGC0680,31.0455958813,2916
NGC0691,36.982817978,2769
NGC0688,59.7035286584,4283
IC1735,141.253754462,11496
NGC0701,20.1372424986,1862
UGC01316,81.2830516164,4841
PGC006864,44.2588372363,2155
UGC01319,57.0164272281,5448
PGC006898,36.140986264,1665
NGC0708,49.2039535681,4974
PGC006966,67.9203632617,5040
NGC0710,35.6451133426,6242
NGC0720,27.4157417193,1717
UGC01366,75.8577575029,5247
NGC0721,55.9757601495,5737
UGC01378,46.9894108605,3111
NGC0748,73.7904230129,5338
UGC01416,120.226443462,5605
PGC007324,29.3764965196,1859
NGC0759,67.9203632617,4779
UGC01459,68.2338694142,5600
NGC0772,23.550492839,2532
NGC0769,50.5824662003,4538
UGC01470,73.1139083483,5288
UGC01493,48.7528490103,4274
NGC0783,61.3762005165,5315
UGC01500,30.199517204,2524
NGC0799,79.4328234724,5869
NGC0801,56.7544605409,5896
NGC0803,21.4783047413,2180
NGC0809,87.9022516831,5348
UGC01567,165.958690744,9163
PGC007957,82.4138115013,4542
UGC01581,59.9791076256,4542
NGC0812,55.9757601495,5308
NGC0821,23.3345806228,1818
NGC0820,64.5654229035,4500
NGC0825,87.9022516831,3447
NGC0818,58.3445104274,4377
IC0210,20.0447202737,1935
UGC01650,76.2079010025,4717
IC1783,37.1535229097,3280
UGC01666,182.810021614,13416
NGC0841,55.9757601495,4669
UGC01685,90.7820530178,6298
ESO544-027,42.2668614266,2438
UGC01726,68.8652296344,5389
ESO544-031,154.170045295,15864
IC1788,45.2897579904,3445
IC0217,20.796966871,1885
NGC0865,30.9029543251,3101
UGC01753,28.4446110745,3096
PGC008778,87.4983775227,6174
PGC008796,159.220872705,11127
IC0219,77.2680585096,5042
ESO545-002,20.4173794467,1575
ESO545-003,23.7684028662,1556
ESO545-005,29.6483138952,2301
NGC0895,35.3183169792,2295
UGC01820,41.686938347,4073
UGC01839,27.2897778281,1562
NGC0907,25.8226019063,1614
UGC01862,22.2843514927,1400
UGC01867,59.4292158616,5330
NGC0911,87.4983775227,5896
NGC0914,73.7904230129,5664
PGC009272,32.9609712177,2097
NGC0935,39.4457302075,4247
NGC0931,36.4753946926,5096
NGC0941,21.9785987278,1615
UGC01958,24.6603933723,1113
UGC01970,32.0626932451,2002
UGC01980,68.2338694142,4883
NGC0958,77.6247116629,5746
UGC01988,61.3762005165,5903
UGC01993,127.057410521,8143
UGC01999,22.181964198,1044
UGC02035,65.1628394061,5208
NGC0976,53.9510622515,4374
NGC0973,62.8058358813,4959
PGC009800,62.2300285169,4758
PGC009816,31.0455958813,3873
ESO545-038,157.036280433,4628
NGC0992,45.7088189615,4211
NGC1024,44.8745389933,3580
UGC02159,49.888448746,5287
NGC1051,21.379620895,1286
UGC02171,60.5340874754,4661
NGC1056,31.1888958409,1632
UGC02194,56.4936974812,5600
NGC1079,33.8844156139,1376
UGC02201,62.5172692776,4230
IC1844,90.3649473722,6826
NGC1090,28.0543363795,2887
NGC1110,21.1836113525,1305
PGC010738,176.197604641,10380
UGC02364,83.5603018231,5451
NGC1134,37.8442584717,3687
UGC02375,109.144033645,7623
PGC010948,76.5596606911,6465
UGC02370,41.8793565118,2282
NGC1145,26.4240875732,2003
UGC02384,136.144468247,9884
PGC011004,45.0816704541,3646
UGC02405,103.276140576,7715
UGC02404,76.9130440287,4983
UGC02415,94.6237161366,7790
UGC02429,30.4789498963,1773
UGC02443,32.6587832172,2510
PGC011248,24.3220400907,2360
UGC02444,102.329299228,6718
NGC1162,40.926065973,3897
UGC02411,36.4753946926,2706
UGC02454,100.925288608,7644
IC0277,62.2300285169,2855
PGC011350,76.2079010025,8420
NGC1163,37.8442584717,2228
PGC011365,127.057410521,8928
UGC02459,36.307805477,2592
UGC02463,38.0189396321,2010
NGC1160,23.7684028662,2647
NGC1172,21.9785987278,1485
NGC1169,37.8442584717,2508
NGC1199,32.8095293113,2630
UGC02485,23.6591969749,2178
NGC1171,25.2348077248,2856
UGC02511,55.2077439281,3954
ESO300-009,89.536476555,5960
NGC1186,36.6437574648,2853
NGC1209,35.4813389234,2588
IC0284,24.3220400907,2833
UGC02540,104.712854805,4025
IC1892,37.6703798984,2810
PGC011767,124.165230759,8643
PGC011782,56.4936974812,3078
UGC02519,26.5460556198,2530
ESO547-012,42.0726628384,1949
IC0292,36.8128973643,3165
NGC1233,64.2687717317,4489
ESO116-012,21.9785987278,993
NGC1253,21.379620895,1688
IC0304,75.5092227665,5049
PGC012130,32.9609712177,2286
UGC02617,42.2668614266,4801
NGC1259,69.1830970919,5934
NGC1260,68.2338694142,5855
UGC02637,47.424198526,5218
UGC02650,133.045441798,8462
UGC02655,51.0504999975,6297
NGC1297,28.313919958,1507
IC1914,23.8781128291,886
IC1913,21.8776162395,1343
NGC1275,77.9830110523,5365
NGC1299,25.003453617,2280
ESO481-021,21.7770977235,1659
PGC012608,27.6694164541,1941
NGC1309,34.35579479,2073
NGC1316,20.4173794467,1670
UGC02708,77.2680585096,5429
NGC1325,22.0800473302,1507
PGC012798,26.7916832482,1807
UGC02730,74.8169500511,3863
NGC1332,22.6986485188,1444
NGC1331,22.9086765277,1127
ESO358-006,20.4173794467,1152
ESO548-021,22.5943577022,1600
NGC1340,20.6062991327,1075
ESO418-008,21.5774440915,1086
PGC013097,20.3235701094,1541
NGC1353,26.6685866452,1446
ESO548-032,25.9417936212,1877
ESO482-005,31.477483141,1822
IC1952,22.80342072,1722
PGC013177,20.0447202737,1257
NGC1359,38.9045144994,1890
NGC1366,20.8929613085,1194
NGC1367,23.8781128291,1366
IC0335,20.5116217883,1516
IC1962,22.9086765277,1718
NGC1380,20.1372424986,1753
NGC1381,21.6770410482,1605
IC1970,20.5116217883,1103
NGC1380B,20.1372424986,1628
NGC1389,20.9893988362,798
ESO358-042,20.4173794467,1041
UGC02798,63.6795520908,5033
ESO358-043,20.796966871,1260
UGC02801,80.9095899178,6106
NGC1399,20.5116217883,1302
NGC1395,23.8781128291,1607
NGC1404,20.0447202737,1822
NGC1398,24.7742205763,1297
NGC1400,26.0615355,506
UGC02800,20.4173794467,1330
NGC1407,28.5759054337,1708
NGC1419,22.5943577022,2004
ESO482-035,25.8226019063,1786
UGC02829,88.7156012038,6146
NGC1425,21.5774440915,1398
NGC1428,20.4173794467,1513
NGC1421,20.0447202737,2016
ESO548-082,40.5508535448,1641
NGC1426,23.3345806228,1350
PGC013646,35.1560440528,2093
ESO156-008,246.603933723,17532
ESO358-056,21.379620895,977
PGC013684,27.7971326776,1135
UGC02827,22.5943577022,1678
PGC013716,29.2415237784,1508
NGC1439,26.4240875732,1573
ESO549-018,26.6685866452,1485
UGC02868,85.1138038202,5495
ESO482-046,22.6986485188,1416
ESO549-035,38.9045144994,1722
UGC02896,39.0840895792,2387
UGC02915,78.7045789695,5360
UGC02920,67.9203632617,4219
UGC02906,66.0693448008,2646
PGC014370,74.1310241301,4660
ESO359-016,25.351286305,1271
ESO550-005,21.9785987278,1788
UGC02956,57.0164272281,4593
IC0356,21.5774440915,1040
PGC014600,31.6227766017,2862
PGC014626,39.0840895792,1781
UGC02982,46.7735141287,5275
UGC02988,55.2077439281,3840
NGC1537,23.0144181741,1272
PGC014768,27.4157417193,1853
PGC014780,111.686324778,8822
UGC03009,42.6579518802,3777
NGC1558,60.5340874754,4371
UGC03028,53.4564359397,5527
UGC03048,39.4457302075,3189
UGC03066,65.1628394061,4594
UGC03070,28.7078058202,2449
ESO202-035,26.6685866452,1700
UGC03078,64.5654229035,5462
UGC03084,46.3446919736,4032
UGC03089,58.0764417521,4593
NGC1620,40.926065973,3443
UGC03092,71.7794291271,4932
UGC03108,50.8159442561,4029
ESO157-049,23.6591969749,1494
UGC03122,67.6082975392,4642
UGC03114,55.7185748932,3855
UGC03110,55.7185748932,4632
PGC015869,42.8548520397,2429
IC0381,25.9417936212,2626
UGC03148,69.5024317589,4720
UGC03151,60.5340874754,4580
UGC03161,196.788628971,8711
UGC03143,68.8652296344,4694
UGC03147,38.194427084,3024
UGC03172,68.2338694142,4686
UGC03167,69.8232404077,4857
PGC016118,55.2077439281,4368
IC2098,42.0726628384,2731
ESO119-016,31.6227766017,785
UGC03186,66.3743070402,4513
ESO422-005,36.6437574648,1313
PGC016322,49.888448746,3755
UGC03207,69.1830970919,4494
UGC03205,58.8843655356,3607
NGC1699,51.0504999975,3844
UGC03214,70.145529842,4829
NGC1723,31.6227766017,3629
ESO486-003,36.4753946926,1624
UGC03218,74.1310241301,5340
ESO552-052,64.5654229035,4453
NGC1752,45.0816704541,3472
UGC03237,53.2108259267,4116
NGC1762,102.329299228,4674
NGC1784,27.7971326776,2199
PGC016772,30.7609681474,2244
NGC1797,75.1622894018,4356
PGC016850,23.1206479018,1843
UGC03250,94.1889596523,4644
PGC016875,30.4789498963,2556
ESO553-017,38.0189396321,1828
PGC016894,27.4157417193,1851
NGC1819,60.2559586074,4398
NGC1832,25.1188643151,1807
NGC1853,28.313919958,1218
ESO305-017,25.1188643151,891
ESO423-002,20.3235701094,1305
UGC03275,136.144468247,7895
IC0407,43.8530697775,2690
UGC03283,69.8232404077,4412
UGC03253,62.8058358813,4285
UGC03276,32.0626932451,2648
UGC03296,66.9884609417,4189
NGC1886,29.2415237784,1600
NGC1888,39.4457302075,2290
PGC017217,40.5508535448,2359
IC0416,50.1187233627,3048
NGC1924,30.4789498963,2430
PGC017395,29.2415237784,2589
NGC1964,21.9785987278,1504
UGC03319,69.8232404077,4344
PGC017475,101.859138805,6910
UGC03329,66.0693448008,5206
ESO554-018,46.9894108605,2711
UGC03332,73.1139083483,5767
UGC03326,83.1763771103,4252
NGC1961,79.0678628,4060
ESO554-028,32.359365693,1908
NGC2049,67.6082975392,2813
UGC03351,48.7528490103,4500
PGC017787,226.986485188,14796
IC2143,37.6703798984,2892
UGC03354,44.8745389933,3171
ESO555-002,39.8107170553,2210
IC2150,42.4619563946,2925
UGC03365,88.3079900419,5267
IC0438,38.0189396321,2966
UGC03375,49.659232145,5851
PGC018109,71.4496326076,5854
NGC2124,45.2897579904,2797
IC2152,26.9153480393,1701
UGC03379,53.9510622515,4233
ESO488-049,32.5087297385,1622
UGC03373,60.5340874754,4905
ESO425-002,29.3764965196,1208
ESO555-029,49.4310686987,2725
PGC018373,37.3250157796,2066
ESO488-060,25.4683025259,1623
ESO005-004,25.5858588691,1687
ESO489-006,24.3220400907,2049
PGC018467,64.2687717317,4386
ESO425-011,58.0764417521,3024
UGC03406,68.8652296344,5316
PGC018581,26.4240875732,1904
UGC03422,64.5654229035,4184
UGC03420,77.2680585096,5244
UGC03432,70.145529842,5077
UGC03413,44.4631267469,4364
ESO489-029,26.1818300822,1518
UGC03423,62.8058358813,4417
NGC2146,26.6685866452,1041
PGC018813,74.4731973906,5416
PGC018848,25.5858588691,2675
ESO556-015,26.7916832482,1811
ESO121-026,35.6451133426,2057
NGC2217,23.0144181741,1431
NGC2146A,21.8776162395,1638
UGC03459,46.7735141287,2781
PGC018989,30.4789498963,4372
ESO426-008,105.196187382,6866
IC2166,30.3389118419,2776
ESO490-005,119.124200803,6929
ESO490-007,30.0607630263,2656
ESO490-010,21.2813904598,1633
UGC03474,46.131757456,3751
UGC03489,81.6582371359,5398
ESO490-014,32.8095293113,2521
UGC03484,103.752841582,7500
ESO557-005,198.609491736,10948
UGC03498,46.9894108605,3713
PGC019325,87.4983775227,5835
NGC2263,27.0395836411,2552
NGC2273A,20.5116217883,2186
ESO490-028,24.4343055269,1950
ESO122-001,28.4446110745,2401
NGC2271,31.477483141,2408
UGC03524,46.7735141287,3834
ESO490-036,32.6587832172,1741
NGC2280,24.5470891569,1718
ESO427-006,44.6683592151,2591
NGC2273B,20.796966871,2194
ESO490-045,23.9883291902,1514
NGC2258,64.2687717317,4190
UGC03500,46.131757456,4545
UGC03539,48.305880204,3409
NGC2273,30.4789498963,1925
UGC03561,85.5066712885,5714
UGC03576,101.859138805,6009
UGC03584,58.0764417521,4397
UGC03587,23.9883291902,1197
UGC03575,59.7035286584,4008
UGC03540,30.7609681474,2096
ESO491-009,34.1979442514,1857
UGC03580,25.1188643151,1320
UGC03605,142.56075936,7881
UGC03595,115.877735616,7973
UGC03611,77.9830110523,4925
ESO491-012,42.4619563946,2383
PGC019975,36.8128973643,3372
ESO491-015,36.307805477,2477
UGC03627,74.8169500511,6330
UGC03630,25.351286305,1632
UGC03634,107.151930524,7800
UGC03637,34.35579479,3426
NGC2325,25.351286305,1954
NGC2320,80.9095899178,5948
ESO427-034,28.7078058202,2179
UGC03691,29.3764965196,2113
NGC2339,30.6196343369,2178
PGC020274,30.7609681474,1554
ESO491-020,48.9778819368,2672
UGC03675,61.9441075077,3919
UGC03731,67.6082975392,4864
UGC03725,86.2978547767,6212
UGC03717,52.7229861423,4314
UGC03751,26.302679919,2235
NGC2268,31.3328572432,2382
UGC03757,109.647819614,5572
UGC03763,127.643880881,7143
ESO428-009,36.6437574648,2029
UGC03770,98.6279485631,6316
UGC03749,27.4157417193,1261
NGC2347,88.3079900419,4519
NGC2369,33.2659553294,3020
UGC03776,43.8530697775,3860
UGC03777,36.8128973643,3175
ESO428-015,22.3872113857,1868
ESO428-018,34.5143739336,1870
ESO428-017,34.5143739336,2180
NGC2357,30.6196343369,2213
UGC03787,152.054752973,8469
UGC03783,104.712854805,6126
UGC03784,65.1628394061,2541
ESO367-017,28.4446110745,2569
UGC03789,49.659232145,3385
UGC03808,49.659232145,2332
PGC020830,90.3649473722,5032
UGC03820,40.3645392968,2444
NGC2365,39.4457302075,2210
UGC03804,42.0726628384,2992
ESO123-009,35.9749335156,2994
ESO428-028,30.7609681474,2046
NGC2380,25.4683025259,1575
UGC03845,51.2861383991,3061
PGC021028,58.0764417521,2321
NGC2336,31.7687407065,2347
NGC2389,61.0942024906,3920
UGC03876,26.6685866452,815
UGC03879,58.8843655356,4770
NGC2393,63.095734448,4861
NGC2417,32.9609712177,2982
IC0467,23.8781128291,2178
ESO123-016,32.8095293113,3029
ESO429-001,35.1560440528,1903
NGC2434,21.379620895,1237
IC2199,59.4292158616,4640
ESO257-019,35.8096437103,2646
NGC2442,21.1836113525,1245
UGC03922,138.03842646,8846
UGC03919,59.1561634175,4958
UGC03909,23.4422881532,1069
UGC03937,43.651583224,3975
UGC03921,58.8843655356,2601
ESO560-004,37.4973002245,1979
UGC03955,52.9663443892,4986
PGC021549,159.955802861,8330
ESO163-014,38.0189396321,2638
UGC03979,64.2687717317,4163
ESO123-023,40.7380277804,2688
PGC021697,82.4138115013,5245
ESO560-012,45.498806015,3110
ESO560-013,51.5228644582,3041
UGC04024,31.6227766017,1799
NGC2441,53.4564359397,3586
UGC04060,68.8652296344,4570
ESO035-018,26.4240875732,1562
IC0480,49.659232145,4570
NGC2460,38.7257644922,1518
ESO494-007,25.7039578277,1350
ESO561-003,42.4619563946,3318
PGC022401,110.153930954,7343
UGC04133,119.124200803,8968
UGC04169,32.2106879128,1681
NGC2512,59.7035286584,4634
UGC04078,26.9153480393,2018
UGC04195,73.7904230129,4981
ESO494-021,36.6437574648,1376
ESO430-026,33.1131121483,1436
NGC2523,36.982817978,3604
UGC04296,123.026877081,8868
UGC04306,23.550492839,2390
PGC023262,27.0395836411,2028
IC2267,41.8793565118,2011
IC2311,23.1206479018,1631
PGC023338,77.9830110523,4950
NGC2565,57.0164272281,3503
UGC04322,108.14339513,7447
UGC04381,53.703179637,4462
UGC04375,40.1790810849,1985
PGC023574,60.8135001279,4526
IC2367,24.0990542869,2247
UGC04386,69.1830970919,4550
NGC2550,26.302679919,2392
NGC2590,63.9734835483,4840
UGC04413,32.6587832172,2414
UGC04446,85.9013521505,5930
ESO431-013,38.0189396321,2612
UGC04455,133.659551655,9108
NGC2613,26.7916832482,1466
ESO562-018,92.4698173938,4524
ESO431-016,31.6227766017,2581
NGC2608,40.5508535448,2099
PGC024189,77.2680585096,5715
ESO563-002,23.550492839,1445
PGC024286,127.057410521,8118
UGC04524,33.4195040026,1802
ESO432-002,35.6451133426,2631
ESO563-014,25.5858588691,1505
UGC04550,38.0189396321,1955
UGC04559,44.0554863507,2026
ESO563-017,61.9441075077,3252
IC0499,52.9663443892,2110
ESO563-021,87.4983775227,4376
IC2389,22.5943577022,2502
NGC2633,24.8885731828,2291
NGC2634,33.1131121483,2381
PGC024778,38.194427084,2726
ESO563-026,40.1790810849,3199
UGC04625,134.276496114,8328
ESO563-028,39.9944749761,2417
ESO371-020,26.9153480393,2141
PGC024870,38.5478357666,1800
UGC04640,51.2861383991,3146
UGC04623,44.0554863507,3016
PGC024988,142.56075936,9068
NGC2695,32.0626932451,1669
IC0522,68.5488226453,5126
NGC2699,26.6685866452,1658
NGC2708,44.4631267469,1832
NGC2706,50.8159442561,1468
UGC04601,30.7609681474,1915
